prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
grass,0.00010444250801810995,2.702310894164839e-06,0.000130115746287629,5.397752374847187e-06,3.306544371639575e-08,0.9962230920791626,0.00014585896860808134,0.003289254615083337,4.347867616161238e-06,9.481453889748082e-05,003a08eff81fe589f95102bf2ce1ecf5.png
grass,0.00027838157257065177,9.892956768453587e-06,8.912522025639191e-05,1.66224708664231e-05,2.5305348572146613e-07,0.9963235855102539,0.00014316086890175939,0.0028656513895839453,1.6187750588869676e-05,0.00025717521202750504,006d04cdfa79fac8f108a0a1cd34d0f8.png
grass,0.0004505700489971787,0.000223565410124138,4.0150709537556395e-05,9.922282333718613e-05,2.865099668269977e-05,0.9927073121070862,0.0001685790775809437,0.005539551377296448,0.0001325627526966855,0.0006097456207498908,019ff91c745f8cbb28143d5fa94c636f.png
grass,5.6539938668720424e-05,9.850080004980555e-07,0.00016631647304166108,1.8776428305500303e-06,5.091103361110072e-08,0.9969871640205383,2.843559741450008e-05,0.0026425363030284643,5.192551725485828e-06,0.00011095306399511173,02253976dfd287ae8bbc339fedb9a6c5.png
grass,7.210010608105222e-06,1.412742900441799e-08,1.4431761030664347e-07,1.8384507427526842e-07,1.104841149124347e-10,0.9982830286026001,9.469135875406209e-07,0.0017063937848433852,1.4413214621811221e-08,2.073716359518585e-06,0277499e3a9d8c193a50be9eeaa32cd4.png
grass,0.00092840421712026,5.443765985546634e-06,0.00015225725655909628,3.253835893701762e-05,1.2924893155741302e-07,0.9504620432853699,0.00033504475140944123,0.04800397902727127,5.438057996798307e-06,7.461528002750129e-05,0315c0744aa6146d0b59842544b414b4.png
grass,0.00010028225369751453,3.7807271837664302e-06,9.092772415897343e-06,2.2377519144356484e-06,1.9333687428790824e-10,0.9936815500259399,1.2698492355411872e-05,0.006155374459922314,3.4353058708802564e-07,3.469974399195053e-05,03bab00004bfabe0b9af6abe7185424c.png
grass,0.0007058641640469432,7.260121037688805e-06,0.00024751710589043796,4.082905070390552e-05,6.294001650530845e-06,0.9142593145370483,0.0011726593365892768,0.07367661595344543,4.929208807880059e-05,0.0098344124853611,03e2583d5887c6a4ad0940643fb8541f.png
grass,0.0023800255730748177,0.0006423369632102549,0.002951510949060321,0.0018608416430652142,2.180019873776473e-05,0.905157744884491,0.010411219671368599,0.07321970164775848,9.271124872611836e-05,0.003262093523517251,058ac66308a8e5349b165bde4b0d30dd.png
grass,0.0034018794540315866,0.00041846843669191003,0.0004122652462683618,0.0008689882815815508,5.005847015127074e-06,0.8797832131385803,0.003374543273821473,0.10318557173013687,2.1769472368760034e-05,0.008528411388397217,0677d96cd342524fe231900e03a485a3.png
grass,0.0005113778752274811,4.5535966819443274e-06,0.00517755514010787,1.9312583390274085e-05,1.4980359082983341e-05,0.6998735666275024,0.00020587578183040023,0.2916460931301117,0.00013588261208496988,0.0024107922799885273,06e309acc238470889ab4bb3dffd232e.png
grass,0.0001754683325998485,4.3487946754794393e-07,0.00031770061468705535,3.2369459859182825e-06,1.6558129800614552e-07,0.9658305048942566,0.00026918706134893,0.03307488188147545,3.837316398858093e-06,0.0003246186242904514,07dffd4f3e85b61b46ecc469f5dd10de.png
grass,0.007408043369650841,0.0024198745377361774,0.0029031680896878242,0.005988652817904949,0.0014113279758021235,0.8634201884269714,0.022377459332346916,0.07734981179237366,0.002887715818360448,0.013833711855113506,07e5158b5744ba3d068280bb25b5ccee.png
grass,0.0006363262655213475,3.092331780862878e-06,0.008171404711902142,1.4962047316657845e-05,2.1473542801686563e-06,0.8751711249351501,0.0014002202078700066,0.11392280459403992,2.055597178696189e-05,0.0006572571583092213,091dfb73779ae12318ff61aa6d814b27.png
