label,concrete,gravel,concrete_plates,cobblestone,asphalt,grass,ground,paving_stones,compacted,sett,filepath
asphalt,5.4776668548583984e-05,1.5676021575927734e-05,3.5762786865234375e-07,3.0994415283203125e-06,1.0,1.7762184143066406e-05,3.2782554626464844e-06,2.014636993408203e-05,1.0788440704345703e-05,1.0728836059570312e-06,../data/deep_pavements_dataset/dataset/asphalt/d1d7d6acfe6c8026e0e515f15c88eb3f.png
asphalt,4.76837158203125e-07,4.470348358154297e-06,0.0,1.7881393432617188e-07,1.0,6.556510925292969e-07,1.7881393432617188e-07,1.0132789611816406e-06,1.1920928955078125e-07,1.7881393432617188e-07,../data/deep_pavements_dataset/dataset/asphalt/1778ae5f156b93e0c6d21f2931e7a45a.png
asphalt,1.0788440704345703e-05,3.11732292175293e-05,2.1457672119140625e-06,1.0132789611816406e-06,1.0,9.608268737792969e-05,6.556510925292969e-06,7.867813110351562e-06,6.139278411865234e-06,5.424022674560547e-06,../data/deep_pavements_dataset/dataset/asphalt/81b0203e43facc8344bf4374d75c61d5.png
asphalt,8.940696716308594e-07,6.556510925292969e-06,5.960464477539063e-08,1.1920928955078125e-07,1.0,1.0788440704345703e-05,4.172325134277344e-07,8.940696716308594e-07,2.980232238769531e-07,4.172325134277344e-07,../data/deep_pavements_dataset/dataset/asphalt/ba3366aa7f8c894f70c9fedcec4704ad.png
asphalt,0.90087890625,0.0006809234619140625,0.010650634765625,0.0009908676147460938,0.0787353515625,0.0006399154663085938,0.0007719993591308594,0.00144195556640625,0.004726409912109375,0.0004131793975830078,../data/deep_pavements_dataset/dataset/asphalt/8261368f1638940f1fdeb306b42ca232.png
asphalt,6.139278411865234e-06,7.867813110351562e-06,0.0,2.980232238769531e-07,1.0,2.1457672119140625e-06,1.0132789611816406e-06,3.993511199951172e-06,7.152557373046875e-07,5.364418029785156e-07,../data/deep_pavements_dataset/dataset/asphalt/aad3409e97de3cc49c8d33f4b32abd85.png
asphalt,4.83393669128418e-05,1.150369644165039e-05,2.980232238769531e-07,1.6689300537109375e-06,1.0,8.940696716308594e-06,5.066394805908203e-06,5.781650543212891e-06,3.11732292175293e-05,1.3709068298339844e-06,../data/deep_pavements_dataset/dataset/asphalt/184062a52efa0a49f59261066e08e8d1.png
asphalt,0.032745361328125,0.0204925537109375,0.35205078125,0.01131439208984375,0.0169830322265625,0.0169830322265625,0.001155853271484375,0.0024471282958984375,0.54541015625,0.0005130767822265625,../data/deep_pavements_dataset/dataset/asphalt/879843fcc7a145cddd49f4659ee92edb.png
asphalt,0.002048492431640625,0.00017905235290527344,8.940696716308594e-06,0.00010859966278076172,0.9970703125,0.00017905235290527344,2.1398067474365234e-05,0.00014841556549072266,5.811452865600586e-05,1.0728836059570312e-05,../data/deep_pavements_dataset/dataset/asphalt/a2cbaa2532f1fb604018060f084b632a.png
asphalt,6.973743438720703e-06,2.6226043701171875e-06,0.0,2.980232238769531e-07,1.0,2.6226043701171875e-06,5.960464477539062e-07,3.635883331298828e-06,4.76837158203125e-07,2.384185791015625e-07,../data/deep_pavements_dataset/dataset/asphalt/80127cd585b15cedd0f686e89525fd5e.png
asphalt,1.0132789611816406e-05,6.139278411865234e-06,3.5762786865234375e-07,1.0728836059570312e-06,1.0,3.0994415283203125e-06,8.344650268554688e-07,1.2218952178955078e-05,9.5367431640625e-07,8.344650268554688e-07,../data/deep_pavements_dataset/dataset/asphalt/50d4e83fbbc6c26496b75c7ad42d773b.png
asphalt,0.00010228157043457031,7.027387619018555e-05,6.556510925292969e-06,9.5367431640625e-06,0.99951171875,2.9325485229492188e-05,2.384185791015625e-06,2.586841583251953e-05,7.3909759521484375e-06,7.867813110351562e-06,../data/deep_pavements_dataset/dataset/asphalt/57e8720a956fc754aefadc0a9c852474.png
asphalt,0.00666046142578125,0.0019083023071289062,2.2590160369873047e-05,0.00018894672393798828,0.98876953125,0.00021409988403320312,1.4603137969970703e-05,0.0020313262939453125,6.133317947387695e-05,0.00013828277587890625,../data/deep_pavements_dataset/dataset/asphalt/14b9b109fb55a8b6a52aec29edb89258.png
asphalt,8.940696716308594e-07,1.5497207641601562e-06,0.0,1.7881393432617188e-07,1.0,1.0132789611816406e-06,1.7881393432617188e-07,4.172325134277344e-07,1.1920928955078125e-07,5.960464477539063e-08,../data/deep_pavements_dataset/dataset/asphalt/fca545e9265ef5ed546870edd5916610.png
asphalt,0.00013136863708496094,2.9325485229492188e-05,8.940696716308594e-07,3.7550926208496094e-06,1.0,2.014636993408203e-05,4.76837158203125e-06,1.6689300537109375e-05,1.9669532775878906e-06,2.384185791015625e-06,../data/deep_pavements_dataset/dataset/asphalt/e15da6ea67c37bffc0c1b6f54eae4a78.png
asphalt,2.753734588623047e-05,2.586841583251953e-05,2.205371856689453e-06,9.5367431640625e-06,1.0,8.940696716308594e-06,6.139278411865234e-06,1.7762184143066406e-05,6.204843521118164e-05,2.086162567138672e-06,../data/deep_pavements_dataset/dataset/asphalt/461c8e35687d9a7349182ad7b32eb887.png
asphalt,0.00048732757568359375,0.0001684427261352539,4.2557716369628906e-05,4.5359134674072266e-05,0.99853515625,6.192922592163086e-05,5.137920379638672e-05,0.0002777576446533203,0.00040411949157714844,1.1444091796875e-05,../data/deep_pavements_dataset/dataset/asphalt/7d1e4267341339c1874fc4ef0fe0074e.png
asphalt,4.470348358154297e-06,1.0132789611816406e-06,1.1920928955078125e-07,2.980232238769531e-07,1.0,3.516674041748047e-06,6.556510925292969e-07,3.2782554626464844e-06,8.344650268554688e-07,6.556510925292969e-07,../data/deep_pavements_dataset/dataset/asphalt/2de41a1743919c62057f777642664fac.png
asphalt,0.007061004638671875,0.0002416372299194336,0.006633758544921875,2.5451183319091797e-05,0.984375,0.0006566047668457031,7.843971252441406e-05,0.00025725364685058594,0.0003743171691894531,0.00015604496002197266,../data/deep_pavements_dataset/dataset/asphalt/919623804ed35b4cb5ced946ae896fcc.png
asphalt,0.001667022705078125,0.0003719329833984375,1.1205673217773438e-05,5.030632019042969e-05,0.97802734375,0.019073486328125,0.000255584716796875,0.0001456737518310547,9.399652481079102e-05,7.325410842895508e-05,../data/deep_pavements_dataset/dataset/asphalt/bbfebf9e21b43382e9fcd4f96214f4f1.png
