label,sett,asphalt,paving_stones,grass,concrete_plates,concrete,ground,filepath
asphalt,0.0009622573852539062,0.9912109375,0.0003325939178466797,6.347894668579102e-05,0.00021469593048095703,0.00688934326171875,0.00042700767517089844,../data/deep_pavements_dataset/dataset/asphalt/f6e28e044405373735cc7551862926d7.png
asphalt,0.0128936767578125,0.8759765625,0.012115478515625,0.0002849102020263672,0.004058837890625,0.06549072265625,0.029052734375,../data/deep_pavements_dataset/dataset/asphalt/f0881e6f6491494f1d6c97e1479a6c1a.png
asphalt,0.007293701171875,0.955078125,0.0013074874877929688,0.00024962425231933594,0.0029468536376953125,0.03070068359375,0.002223968505859375,../data/deep_pavements_dataset/dataset/asphalt/64426e4a450339f1327da99eed926c71.png
asphalt,0.004482269287109375,0.9384765625,0.0036029815673828125,0.00020325183868408203,0.00170135498046875,0.04974365234375,0.0019283294677734375,../data/deep_pavements_dataset/dataset/asphalt/1556409689c0ce7450ebaaf980826bb0.png
asphalt,0.01715087890625,0.9365234375,0.0040740966796875,0.0008540153503417969,0.0038280487060546875,0.03631591796875,0.0012426376342773438,../data/deep_pavements_dataset/dataset/asphalt/7dd8b4bebb826dd12ed07b9442045b0b.png
asphalt,0.432373046875,0.336669921875,0.08782958984375,0.0039825439453125,0.038970947265625,0.0799560546875,0.0202178955078125,../data/deep_pavements_dataset/dataset/asphalt/2338d7491ddd85051092bb326d558b2a.png
asphalt,0.0038127899169921875,0.904296875,0.0009341239929199219,0.00010162591934204102,0.0031604766845703125,0.0867919921875,0.001026153564453125,../data/deep_pavements_dataset/dataset/asphalt/d43442dc2d9efaa3e6588880cfd7f87b.png
asphalt,0.0021495819091796875,0.98291015625,0.0010156631469726562,0.0001291036605834961,0.0004506111145019531,0.011993408203125,0.0013456344604492188,../data/deep_pavements_dataset/dataset/asphalt/cedaccc562152902f9cc71f529092a6f.png
asphalt,0.0227508544921875,0.9375,0.00811004638671875,0.0046234130859375,0.0059356689453125,0.01885986328125,0.0021839141845703125,../data/deep_pavements_dataset/dataset/asphalt/171f9d1c5c104f79fec28f9feecb6e97.png
asphalt,0.0305938720703125,0.71826171875,0.0238189697265625,0.1136474609375,0.07568359375,0.036895751953125,0.0011138916015625,../data/deep_pavements_dataset/dataset/asphalt/82761b34cf5fef49e3e6ba469086b94a.png
