label,asphalt,gravel,concrete_plates,grass,ground,sett,concrete,paving_stones,cobblestone,compacted,filepath
asphalt,0.35498046875,0.017120361328125,0.04730224609375,0.0025463104248046875,0.01214599609375,0.0007410049438476562,0.47021484375,0.0182342529296875,0.0035343170166015625,0.0732421875,../data/deep_pavements_dataset/dataset/asphalt/7706aeb89520a96e8fafb3cadedb67c7.png
asphalt,0.7783203125,0.032623291015625,0.0279083251953125,0.000732421875,0.028350830078125,0.01360321044921875,0.041259765625,0.028350830078125,0.006839752197265625,0.041900634765625,../data/deep_pavements_dataset/dataset/asphalt/4eaefa20e3ad0ca9690ce24e3dcd25f8.png
asphalt,0.93896484375,0.0053253173828125,0.0092010498046875,0.00017940998077392578,0.002635955810546875,0.00222015380859375,0.022430419921875,0.01517486572265625,0.0014791488647460938,0.0025959014892578125,../data/deep_pavements_dataset/dataset/asphalt/5c2517f9deabdf68dec0ee83f2b52355.png
asphalt,0.8994140625,0.00534820556640625,0.01409149169921875,0.0001773834228515625,0.007904052734375,0.0015087127685546875,0.044097900390625,0.0147705078125,0.000820159912109375,0.01168060302734375,../data/deep_pavements_dataset/dataset/asphalt/76cebe4dd225ce75238c7a6fcc152f37.png
asphalt,0.81396484375,0.004764556884765625,0.027862548828125,0.0012044906616210938,0.0077362060546875,0.0009236335754394531,0.10028076171875,0.0191497802734375,0.0012826919555664062,0.022735595703125,../data/deep_pavements_dataset/dataset/asphalt/2a600dfe633269af654eb78a83efa159.png
asphalt,0.04095458984375,0.007572174072265625,0.31201171875,0.0002472400665283203,0.0073394775390625,0.01019287109375,0.5146484375,0.0229644775390625,0.0013370513916015625,0.08270263671875,../data/deep_pavements_dataset/dataset/asphalt/939c0d4e8268c9c53f915e1312e39101.png
asphalt,0.87060546875,0.005340576171875,0.0556640625,0.0003108978271484375,0.005340576171875,0.0017614364624023438,0.03765869140625,0.0107879638671875,0.0010519027709960938,0.0113067626953125,../data/deep_pavements_dataset/dataset/asphalt/e3cbb0a3fccac6b5b2dc10126ff27ac3.png
asphalt,0.9501953125,0.0006442070007324219,0.0197296142578125,6.276369094848633e-05,0.005146026611328125,0.0006442070007324219,0.00433349609375,0.0151214599609375,0.00012099742889404297,0.00388336181640625,../data/deep_pavements_dataset/dataset/asphalt/028e9ad66ec7be4e71180845e3051082.png
asphalt,0.599609375,0.02288818359375,0.05755615234375,0.00016415119171142578,0.006664276123046875,0.0032978057861328125,0.154052734375,0.02325439453125,0.00472259521484375,0.127685546875,../data/deep_pavements_dataset/dataset/asphalt/ca3b838f7ab6af9c02c239adf4e76a4b.png
asphalt,0.69189453125,0.01171875,0.00699615478515625,0.11114501953125,0.07403564453125,0.0033054351806640625,0.044921875,0.019622802734375,0.0015134811401367188,0.03497314453125,../data/deep_pavements_dataset/dataset/asphalt/048d6dbe628ad3dd6adfb06097fef8ee.png
asphalt,0.57373046875,0.010345458984375,0.192138671875,0.0005230903625488281,0.01505279541015625,0.0030574798583984375,0.132080078125,0.0148162841796875,0.0014219284057617188,0.056793212890625,../data/deep_pavements_dataset/dataset/asphalt/e15da6ea67c37bffc0c1b6f54eae4a78.png
asphalt,0.74853515625,0.006084442138671875,0.0966796875,0.00042057037353515625,0.010345458984375,0.0012750625610351562,0.1029052734375,0.01436614990234375,0.0011081695556640625,0.0184478759765625,../data/deep_pavements_dataset/dataset/asphalt/c989dff87322322dd2ad90e7c52ba6ae.png
asphalt,0.55712890625,0.00820159912109375,0.0092926025390625,0.180908203125,0.1700439453125,0.003162384033203125,0.0233612060546875,0.0080718994140625,0.0022430419921875,0.037353515625,../data/deep_pavements_dataset/dataset/asphalt/57a92574be7393a48e7bd104fed02b9f.png
asphalt,0.64013671875,0.0097198486328125,0.140625,0.0008902549743652344,0.029937744140625,0.0016374588012695312,0.043548583984375,0.048583984375,0.0008902549743652344,0.083984375,../data/deep_pavements_dataset/dataset/asphalt/4ea555c215047ea547502e317a176297.png
asphalt,0.77392578125,0.007587432861328125,0.11322021484375,0.0006322860717773438,0.01290130615234375,0.0005850791931152344,0.03912353515625,0.01395416259765625,0.0008783340454101562,0.037353515625,../data/deep_pavements_dataset/dataset/asphalt/ac07da42e62a695b68fa5fa251dd1e6d.png
asphalt,0.8984375,0.0065460205078125,0.0180816650390625,0.0026454925537109375,0.0343017578125,0.0005049705505371094,0.0157012939453125,0.00429534912109375,0.0006690025329589844,0.018646240234375,../data/deep_pavements_dataset/dataset/asphalt/31af1fd3c8ae378b9b866fab8a470e99.png
asphalt,0.92529296875,0.0022220611572265625,0.00775909423828125,0.00017690658569335938,0.0025577545166015625,0.0003743171691894531,0.055572509765625,0.004352569580078125,0.00023794174194335938,0.0014581680297851562,../data/deep_pavements_dataset/dataset/asphalt/e161285ae95028f7b2d230edfba81fb0.png
asphalt,0.224365234375,0.0199127197265625,0.10760498046875,0.0013980865478515625,0.246337890625,0.004238128662109375,0.235107421875,0.0193023681640625,0.0035152435302734375,0.13818359375,../data/deep_pavements_dataset/dataset/asphalt/423b5ec2a145dab7ad0e1a6963bda70e.png
