label,cobblestone,compacted,gravel,concrete_plates,grass,sett,concrete,ground,paving_stones,asphalt,filepath
asphalt,0.0014925003051757812,0.0226287841796875,0.0012369155883789062,0.122314453125,0.0010585784912109375,0.005207061767578125,0.2147216796875,0.00020837783813476562,0.010040283203125,0.62109375,../data/deep_pavements_dataset/dataset/asphalt/f1976027337cb9361e97db25ccd5bd1f.png
asphalt,0.0003199577331542969,0.001049041748046875,0.003231048583984375,0.67626953125,0.06695556640625,0.004848480224609375,0.032623291015625,9.453296661376953e-05,0.008514404296875,0.2061767578125,../data/deep_pavements_dataset/dataset/asphalt/9f924461f3f582a6c44021007abce78c.png
asphalt,0.00024366378784179688,0.0014467239379882812,8.684396743774414e-05,0.0634765625,0.0019779205322265625,0.0009636878967285156,0.04791259765625,6.35385513305664e-05,0.00782012939453125,0.8759765625,../data/deep_pavements_dataset/dataset/asphalt/bff424c3dcfe67c24e4f29779cbb1e2c.png
asphalt,0.0005502700805664062,0.0038204193115234375,0.00011903047561645508,0.004467010498046875,0.0002856254577636719,0.0005860328674316406,0.0226898193359375,0.0002294778823852539,0.0025463104248046875,0.96484375,../data/deep_pavements_dataset/dataset/asphalt/846df720072fa5a06e934f40411eb74a.png
asphalt,0.0034503936767578125,0.0211334228515625,0.00041222572326660156,0.0693359375,0.0016813278198242188,0.01062774658203125,0.071533203125,0.0007944107055664062,0.05230712890625,0.7685546875,../data/deep_pavements_dataset/dataset/asphalt/91e504c12067e6e39e79524e461edfb3.png
asphalt,0.414306640625,0.0019178390502929688,0.007587432861328125,0.0219573974609375,7.915496826171875e-05,0.515625,0.001979827880859375,0.00027632713317871094,0.0309600830078125,0.005550384521484375,../data/deep_pavements_dataset/dataset/asphalt/2624cedcb1daa64619d882939124545b.png
asphalt,0.002277374267578125,0.007236480712890625,0.00026345252990722656,0.03790283203125,0.0026607513427734375,0.005130767822265625,0.0184783935546875,0.00029850006103515625,0.035614013671875,0.89013671875,../data/deep_pavements_dataset/dataset/asphalt/dcff024fe5f3b97aa4571c90be0e3a69.png
asphalt,0.0028972625732421875,0.01219940185546875,0.0005888938903808594,0.034210205078125,0.0016508102416992188,0.005764007568359375,0.038787841796875,0.0006265640258789062,0.020751953125,0.88232421875,../data/deep_pavements_dataset/dataset/asphalt/7163d6fbc06bad3abd2dd77f50693ba9.png
asphalt,0.0011682510375976562,0.0020503997802734375,0.0002161264419555664,0.1483154296875,0.0177154541015625,0.005573272705078125,0.015625,0.00014853477478027344,0.079345703125,0.72998046875,../data/deep_pavements_dataset/dataset/asphalt/d6916c1bc4145107d4e07a46ceece3c2.png
asphalt,0.0004892349243164062,0.0020599365234375,0.00020396709442138672,0.0251007080078125,0.003292083740234375,0.0010690689086914062,0.0183563232421875,0.0001589059829711914,0.007419586181640625,0.94189453125,../data/deep_pavements_dataset/dataset/asphalt/af4e4cdebb67c57d2f3b97d39122af91.png
asphalt,0.0009927749633789062,0.00885009765625,0.0004839897155761719,0.00504302978515625,0.00020813941955566406,0.0007977485656738281,0.078857421875,0.0005316734313964844,0.0014905929565429688,0.90283203125,../data/deep_pavements_dataset/dataset/asphalt/e5bc55a0761079a570896a5ceebefdd0.png
asphalt,0.00061798095703125,0.0033397674560546875,0.0002918243408203125,0.057373046875,0.005680084228515625,0.0020904541015625,0.0204620361328125,0.0001513957977294922,0.01241302490234375,0.8974609375,../data/deep_pavements_dataset/dataset/asphalt/a491e47c1d5eb027f9edde3119ddece4.png
