label,asphalt,gravel,paving_stones,compacted,concrete_plates,grass,ground,concrete,cobblestone,sett,filepath
asphalt,0.7392578125,0.00018143653869628906,0.1134033203125,0.044403076171875,0.00902557373046875,0.002666473388671875,0.050323486328125,0.00821685791015625,0.02032470703125,0.01195526123046875,../data/deep_pavements_dataset/dataset/asphalt/a457331a1100612ed8934e3cfb08b687.png
asphalt,0.9921875,4.470348358154297e-06,8.416175842285156e-05,0.0005316734313964844,0.0027008056640625,0.0003654956817626953,2.7298927307128906e-05,0.00357818603515625,0.00018966197967529297,0.0005154609680175781,../data/deep_pavements_dataset/dataset/asphalt/2b06f8c719e989feb4fc04daea9aa793.png
asphalt,0.98828125,2.682209014892578e-06,1.704692840576172e-05,8.64863395690918e-05,0.00534820556640625,0.000873565673828125,6.079673767089844e-06,0.005184173583984375,2.8967857360839844e-05,0.0002834796905517578,../data/deep_pavements_dataset/dataset/asphalt/d194a2d213b60c376825201d777e2ca5.png
asphalt,0.99267578125,1.7285346984863281e-06,1.710653305053711e-05,7.432699203491211e-05,0.003932952880859375,0.0007505416870117188,6.079673767089844e-06,0.0021724700927734375,4.506111145019531e-05,0.0002760887145996094,../data/deep_pavements_dataset/dataset/asphalt/6882ec64bc3e1db9e3d40d5e9e7c04bb.png
asphalt,0.91650390625,9.381771087646484e-05,0.004520416259765625,0.0130767822265625,0.0111846923828125,0.003204345703125,0.0143585205078125,0.034454345703125,0.0013360977172851562,0.0010728836059570312,../data/deep_pavements_dataset/dataset/asphalt/9f924461f3f582a6c44021007abce78c.png
asphalt,0.95556640625,1.9252300262451172e-05,7.37905502319336e-05,0.00016629695892333984,0.01983642578125,0.00276947021484375,1.806020736694336e-05,0.0204620361328125,5.930662155151367e-05,0.0011539459228515625,../data/deep_pavements_dataset/dataset/asphalt/7c48f9973aeab2091b163519fe347db1.png
asphalt,0.990234375,4.708766937255859e-06,0.0007257461547851562,0.0020351409912109375,0.0016870498657226562,0.0004265308380126953,0.00115966796875,0.002532958984375,0.0007257461547851562,0.0004832744598388672,../data/deep_pavements_dataset/dataset/asphalt/bcb2119cc01fd57172f4562ebf84e7bb.png
asphalt,0.7255859375,4.947185516357422e-05,0.0005316734313964844,0.0001837015151977539,0.1669921875,0.006683349609375,2.3365020751953125e-05,0.09820556640625,1.996755599975586e-05,0.001743316650390625,../data/deep_pavements_dataset/dataset/asphalt/e0893570d03bf40bd9477cbc8c4077a2.png
asphalt,0.98193359375,1.0609626770019531e-05,0.0003616809844970703,0.001430511474609375,0.0038890838623046875,0.0003094673156738281,0.00011032819747924805,0.0105743408203125,0.0002999305725097656,0.0011491775512695312,../data/deep_pavements_dataset/dataset/asphalt/09ef9e3769bbdd2e54508e7e6bfb2396.png
asphalt,0.9931640625,1.1920928955078125e-06,2.199411392211914e-05,0.00016748905181884766,0.00231170654296875,0.00022900104522705078,7.808208465576172e-06,0.003932952880859375,3.2961368560791016e-05,0.0002084970474243164,../data/deep_pavements_dataset/dataset/asphalt/8647ca749b1f860346c3460c0c6621b4.png
asphalt,0.00627899169921875,0.0003771781921386719,0.086669921875,0.302490234375,0.00020825862884521484,0.00010150671005249023,0.0170745849609375,7.200241088867188e-05,0.5654296875,0.021240234375,../data/deep_pavements_dataset/dataset/asphalt/2624cedcb1daa64619d882939124545b.png
asphalt,0.99267578125,1.1920928955078125e-06,1.823902130126953e-05,9.846687316894531e-05,0.00336456298828125,0.00031280517578125,6.318092346191406e-06,0.003063201904296875,3.1948089599609375e-05,0.0002288818359375,../data/deep_pavements_dataset/dataset/asphalt/b6e6a5becb8256b3ca976a772575c9c5.png
asphalt,0.99072265625,3.039836883544922e-06,2.8133392333984375e-05,0.00011849403381347656,0.005199432373046875,0.0005650520324707031,7.808208465576172e-06,0.0029621124267578125,7.414817810058594e-05,0.0004401206970214844,../data/deep_pavements_dataset/dataset/asphalt/cc847494285c49bbbec12e5346cae87f.png
asphalt,0.9638671875,7.152557373046875e-06,0.0004420280456542969,0.0027065277099609375,0.0027942657470703125,0.0001842975616455078,0.00011175870895385742,0.02911376953125,0.00011527538299560547,0.0006041526794433594,../data/deep_pavements_dataset/dataset/asphalt/14b846a5dd6a94fcf42cad6b694292f2.png
asphalt,0.4697265625,5.27501106262207e-05,0.0010938644409179688,0.0206298828125,0.00572967529296875,0.0004558563232421875,0.0001900196075439453,0.5,6.365776062011719e-05,0.0022430419921875,../data/deep_pavements_dataset/dataset/asphalt/ecbf2aef1de65e8116d60d8c6be367ea.png
asphalt,0.89404296875,8.33272933959961e-05,0.0042724609375,0.039306640625,0.0084991455078125,0.0008955001831054688,0.0006551742553710938,0.044525146484375,0.0016736984252929688,0.005840301513671875,../data/deep_pavements_dataset/dataset/asphalt/f234dbd12926faa16247c6f3a2741ebe.png
asphalt,0.912109375,1.2218952178955078e-05,0.00350189208984375,0.00021696090698242188,0.06610107421875,0.0015535354614257812,1.6748905181884766e-05,0.006145477294921875,0.00017440319061279297,0.0101318359375,../data/deep_pavements_dataset/dataset/asphalt/bbfebf9e21b43382e9fcd4f96214f4f1.png
asphalt,0.994140625,5.960464477539062e-07,2.7358531951904297e-05,0.00019598007202148438,0.00140380859375,0.0001049041748046875,1.1086463928222656e-05,0.004192352294921875,2.4139881134033203e-05,0.00011521577835083008,../data/deep_pavements_dataset/dataset/asphalt/fd181d80b9b3d509ee8b91d81a411cd0.png
asphalt,0.9951171875,1.3113021850585938e-06,5.120038986206055e-05,0.0002155303955078125,0.0019817352294921875,0.00014352798461914062,1.9431114196777344e-05,0.002109527587890625,9.268522262573242e-05,0.0002682209014892578,../data/deep_pavements_dataset/dataset/asphalt/028e9ad66ec7be4e71180845e3051082.png
asphalt,0.99609375,1.1920928955078125e-06,0.0001436471939086914,0.0004565715789794922,0.0011301040649414062,0.00013494491577148438,0.00010186433792114258,0.001750946044921875,0.0001628398895263672,0.0002295970916748047,../data/deep_pavements_dataset/dataset/asphalt/342d25c9c11328858efeb5a13ff7dad4.png
asphalt,0.92724609375,1.6987323760986328e-05,3.17692756652832e-05,5.5789947509765625e-05,0.037109375,0.00518035888671875,8.821487426757812e-06,0.0298004150390625,1.5974044799804688e-05,0.0005130767822265625,../data/deep_pavements_dataset/dataset/asphalt/1ce50333c2dd8400ee49dc150bd81657.png
asphalt,0.88232421875,0.00010228157043457031,0.00594329833984375,0.018310546875,0.0049285888671875,0.004215240478515625,0.060028076171875,0.020751953125,0.0028076171875,0.000732421875,../data/deep_pavements_dataset/dataset/asphalt/fc8ea8b64b63be963c32d45e240fe39f.png
asphalt,0.9931640625,9.5367431640625e-07,1.6570091247558594e-05,8.165836334228516e-05,0.002704620361328125,0.0002084970474243164,4.76837158203125e-06,0.003582000732421875,2.1278858184814453e-05,0.0001958608627319336,../data/deep_pavements_dataset/dataset/asphalt/921eed1734503ebe476e96ef19baf164.png
asphalt,0.685546875,0.00011211633682250977,0.00033473968505859375,0.0004165172576904297,0.130859375,0.006122589111328125,3.641843795776367e-05,0.17333984375,3.8743019104003906e-05,0.00289154052734375,../data/deep_pavements_dataset/dataset/asphalt/b7962badf5b38b58c9b0838f6ad29ca0.png
asphalt,0.99267578125,1.0728836059570312e-06,2.2649765014648438e-05,0.00015723705291748047,0.0026187896728515625,0.0001957416534423828,7.569789886474609e-06,0.0043182373046875,3.0040740966796875e-05,0.0002149343490600586,../data/deep_pavements_dataset/dataset/asphalt/86b604fbcc5f3e29aff816f81428cc02.png
