label,paving_stones,ground,concrete_plates,concrete,sett,grass,compacted,cobblestone,asphalt,gravel,filepath
asphalt,0.0005664825439453125,0.00011873245239257812,0.01137542724609375,0.05426025390625,2.8192996978759766e-05,0.00013446807861328125,0.0010919570922851562,2.1457672119140625e-06,0.9326171875,3.403425216674805e-05,../data/deep_pavements_dataset/dataset/asphalt/90bd936682e59380763a1cc8675f9be3.png
asphalt,0.038543701171875,0.0003662109375,0.0121307373046875,0.705078125,0.0003440380096435547,5.441904067993164e-05,0.2149658203125,0.00013065338134765625,0.0281982421875,0.00026798248291015625,../data/deep_pavements_dataset/dataset/asphalt/42bcd6150615beb29f96b66c4e111645.png
asphalt,0.00600433349609375,0.0001208186149597168,0.86376953125,0.005466461181640625,0.0013828277587890625,0.11334228515625,4.0471553802490234e-05,0.0007171630859375,0.0090179443359375,4.309415817260742e-05,../data/deep_pavements_dataset/dataset/asphalt/cd8c7f35d3d31c0cd9f781668a327139.png
asphalt,0.0015192031860351562,0.000240325927734375,0.026092529296875,0.132568359375,2.962350845336914e-05,0.00118255615234375,0.0008654594421386719,5.4836273193359375e-06,0.83740234375,3.5703182220458984e-05,../data/deep_pavements_dataset/dataset/asphalt/709d81c9a8a29595e5b983946510208e.png
asphalt,0.0015287399291992188,0.00035190582275390625,0.00879669189453125,0.11767578125,3.4809112548828125e-05,0.0002739429473876953,0.00173187255859375,8.52346420288086e-06,0.86962890625,0.00011783838272094727,../data/deep_pavements_dataset/dataset/asphalt/bcb2119cc01fd57172f4562ebf84e7bb.png
asphalt,0.0161590576171875,2.014636993408203e-05,0.443603515625,0.00048804283142089844,0.2095947265625,9.912252426147461e-05,0.00255584716796875,0.324462890625,0.0002378225326538086,0.0027217864990234375,../data/deep_pavements_dataset/dataset/asphalt/c12e9a92e269e2eb2937812b77833399.png
asphalt,0.0030765533447265625,0.0009093284606933594,0.01178741455078125,0.043792724609375,0.00018465518951416016,0.0002772808074951172,0.003173828125,9.775161743164062e-06,0.9365234375,0.00014841556549072266,../data/deep_pavements_dataset/dataset/asphalt/871f5eeabf6423f6bbbf0e3b49c9c58a.png
asphalt,0.0027256011962890625,2.0802021026611328e-05,0.006145477294921875,0.6669921875,5.4836273193359375e-05,5.602836608886719e-06,0.305419921875,4.404783248901367e-05,0.018341064453125,0.00010573863983154297,../data/deep_pavements_dataset/dataset/asphalt/7cfacff569d2e3fc1bf9bed37d498981.png
asphalt,0.0007729530334472656,0.00016200542449951172,0.01209259033203125,0.0255889892578125,4.225969314575195e-05,0.0001474618911743164,0.0007729530334472656,1.5497207641601562e-06,0.96044921875,1.817941665649414e-05,../data/deep_pavements_dataset/dataset/asphalt/111e5e512db1787b0a851b00b8d044ce.png
asphalt,0.0025424957275390625,0.00042819976806640625,0.0121307373046875,0.12646484375,0.0001017451286315918,0.00016260147094726562,0.00759124755859375,1.0073184967041016e-05,0.8505859375,0.00016260147094726562,../data/deep_pavements_dataset/dataset/asphalt/92d2fe48ea246f676ceebde8877f333a.png
