label,ground,concrete,cobblestone,gravel,paving_stones,concrete_plates,compacted,asphalt,grass,sett,filepath
asphalt,3.8683414459228516e-05,0.001544952392578125,3.0100345611572266e-05,0.0023193359375,7.003545761108398e-05,3.0994415283203125e-06,9.357929229736328e-06,0.99609375,3.993511199951172e-06,5.960464477539063e-08,../data/deep_pavements_dataset/dataset/asphalt/5e3be26530613297444bc144a0583bf4.png
asphalt,2.8371810913085938e-05,5.602836608886719e-06,4.649162292480469e-06,0.00023043155670166016,2.014636993408203e-05,8.940696716308594e-07,7.867813110351562e-06,0.99951171875,2.0802021026611328e-05,5.960464477539063e-08,../data/deep_pavements_dataset/dataset/asphalt/a29b3fc11ca18f8e7a1386fc70dd4b94.png
asphalt,0.00011938810348510742,0.0005025863647460938,6.192922592163086e-05,0.0001533031463623047,0.00041675567626953125,0.0003795623779296875,2.008676528930664e-05,0.99853515625,2.0742416381835938e-05,1.1920928955078125e-07,../data/deep_pavements_dataset/dataset/asphalt/0c3bb5ce502be2a5af20b9aa80d2ef54.png
asphalt,0.00030112266540527344,0.0005288124084472656,2.8908252716064453e-05,0.00020706653594970703,0.00033092498779296875,0.01241302490234375,8.285045623779297e-06,0.986328125,9.357929229736328e-06,4.172325134277344e-07,../data/deep_pavements_dataset/dataset/asphalt/7cfacff569d2e3fc1bf9bed37d498981.png
asphalt,3.534555435180664e-05,9.316205978393555e-05,5.245208740234375e-06,5.143880844116211e-05,2.3543834686279297e-05,6.735324859619141e-06,1.043081283569336e-05,1.0,8.64267349243164e-06,5.960464477539063e-08,../data/deep_pavements_dataset/dataset/asphalt/8634b6b5607c94fb2070f2e595a1f3b2.png
asphalt,2.8371810913085938e-05,4.00543212890625e-05,1.430511474609375e-05,0.00018525123596191406,2.9325485229492188e-05,5.3048133850097656e-05,1.1146068572998047e-05,0.99951171875,7.62939453125e-06,1.1920928955078125e-07,../data/deep_pavements_dataset/dataset/asphalt/172b4e74117bf42e46321b199db891fb.png
asphalt,7.718801498413086e-05,0.0001634359359741211,1.2993812561035156e-05,0.0001055002212524414,2.0802021026611328e-05,2.0802021026611328e-05,1.722574234008789e-05,0.99951171875,5.9604644775390625e-06,5.960464477539063e-08,../data/deep_pavements_dataset/dataset/asphalt/184062a52efa0a49f59261066e08e8d1.png
asphalt,0.00015079975128173828,0.01399993896484375,0.00019979476928710938,0.00251007080078125,0.00021266937255859375,0.0006551742553710938,0.0005102157592773438,0.98193359375,5.048513412475586e-05,2.980232238769531e-07,../data/deep_pavements_dataset/dataset/asphalt/1e73d13e16d12ff97a42fe8e5ca5ee5e.png
asphalt,1.1146068572998047e-05,3.993511199951172e-06,2.6226043701171875e-06,4.398822784423828e-05,1.1861324310302734e-05,1.430511474609375e-06,1.1324882507324219e-06,1.0,2.8014183044433594e-06,0.0,../data/deep_pavements_dataset/dataset/asphalt/ee6fee60c804b834ffe3435aba8b2cdc.png
asphalt,8.404254913330078e-06,7.3909759521484375e-06,9.5367431640625e-07,1.8358230590820312e-05,2.014636993408203e-05,4.172325134277344e-07,2.980232238769531e-07,1.0,1.7881393432617188e-07,0.0,../data/deep_pavements_dataset/dataset/asphalt/e5bc55a0761079a570896a5ceebefdd0.png
