label,concrete_plates,paving_stones,sett,asphalt,grass,compacted,concrete,cobblestone,gravel,ground,filepath
asphalt,0.35986328125,0.0027484893798828125,0.0009207725524902344,0.5751953125,0.0286407470703125,0.01580810546875,0.01194000244140625,0.0004215240478515625,0.0011453628540039062,0.0032138824462890625,../data/deep_pavements_dataset/dataset/asphalt/902df26c5818b37d18ef0d4cd3734ca7.png
asphalt,0.00140380859375,0.00016248226165771484,2.002716064453125e-05,0.994140625,0.0002086162567138672,0.0001189112663269043,0.0035839080810546875,4.374980926513672e-05,0.0003333091735839844,0.00021529197692871094,../data/deep_pavements_dataset/dataset/asphalt/b4922a941e14f14e00ed681e92b57287.png
asphalt,1.043081283569336e-05,1.0788440704345703e-05,7.987022399902344e-06,1.0,1.2814998626708984e-05,1.6987323760986328e-05,6.014108657836914e-05,1.3113021850585938e-06,5.3882598876953125e-05,1.1861324310302734e-05,../data/deep_pavements_dataset/dataset/asphalt/a457331a1100612ed8934e3cfb08b687.png
asphalt,0.0006070137023925781,2.1755695343017578e-05,1.1801719665527344e-05,0.9990234375,2.753734588623047e-05,2.5033950805664062e-05,9.906291961669922e-05,1.0251998901367188e-05,0.0001633167266845703,8.213520050048828e-05,../data/deep_pavements_dataset/dataset/asphalt/7cfacff569d2e3fc1bf9bed37d498981.png
asphalt,2.390146255493164e-05,6.4373016357421875e-06,3.874301910400391e-06,0.9990234375,1.4960765838623047e-05,1.2993812561035156e-05,0.0005354881286621094,4.589557647705078e-06,0.00014412403106689453,2.9265880584716797e-05,../data/deep_pavements_dataset/dataset/asphalt/57e8720a956fc754aefadc0a9c852474.png
asphalt,4.678964614868164e-05,6.598234176635742e-05,9.834766387939453e-06,0.9990234375,0.0001232624053955078,0.00010222196578979492,0.0002529621124267578,2.8371810913085938e-05,0.0002377033233642578,5.823373794555664e-05,../data/deep_pavements_dataset/dataset/asphalt/2adc54cb5d70c9db059fe02425bf11b9.png
asphalt,8.821487426757812e-06,2.4318695068359375e-05,5.662441253662109e-06,0.99951171875,1.8596649169921875e-05,1.4066696166992188e-05,0.00021648406982421875,6.258487701416016e-06,9.02414321899414e-05,3.7610530853271484e-05,../data/deep_pavements_dataset/dataset/asphalt/24a4b317e57e21042f1f7e129e5b3072.png
asphalt,9.834766387939453e-06,5.245208740234375e-06,3.039836883544922e-06,0.99951171875,0.0001634359359741211,1.4066696166992188e-05,3.88026237487793e-05,2.9206275939941406e-06,7.027387619018555e-05,2.586841583251953e-05,../data/deep_pavements_dataset/dataset/asphalt/c1e54fda5890c28170cf333670e57755.png
asphalt,2.3543834686279297e-05,2.4616718292236328e-05,3.266334533691406e-05,0.99853515625,5.054473876953125e-05,0.00010216236114501953,0.001132965087890625,8.285045623779297e-06,0.00013113021850585938,2.7060508728027344e-05,../data/deep_pavements_dataset/dataset/asphalt/5443293aa1984f30975ccce31aeaec4e.png
asphalt,1.2993812561035156e-05,6.735324859619141e-06,2.562999725341797e-06,1.0,2.1457672119140625e-05,1.341104507446289e-05,1.2993812561035156e-05,2.9206275939941406e-06,7.253885269165039e-05,2.110004425048828e-05,../data/deep_pavements_dataset/dataset/asphalt/9f49f795cd31dd404f9a4fd1b4d8cb09.png
