label,cobblestone,concrete plates,paving stones,asphalt,compacted,concrete,sett,gravel,grass,ground,filepath
asphalt,1.424551010131836e-05,0.00058746337890625,0.00033473968505859375,0.998046875,0.00014400482177734375,0.0001270771026611328,3.7550926208496094e-05,0.000457763671875,0.0001462697982788086,3.212690353393555e-05,../data/deep_pavements_dataset/dataset/asphalt/f1480b38a7eaac9f1b0612421463c685.png
asphalt,3.635883331298828e-05,0.0004093647003173828,0.00033926963806152344,0.98046875,0.00033402442932128906,0.0179595947265625,6.681680679321289e-05,0.00021910667419433594,9.131431579589844e-05,8.445978164672852e-05,../data/deep_pavements_dataset/dataset/asphalt/f616799d22029522b4e8097c8c74daeb.png
asphalt,2.5928020477294922e-05,0.00753021240234375,0.0007691383361816406,0.986328125,0.0007939338684082031,0.002368927001953125,0.00033092498779296875,0.0014371871948242188,0.0003256797790527344,9.191036224365234e-05,../data/deep_pavements_dataset/dataset/asphalt/2dfc7f2b0c53f03ff716ec2364c26054.png
asphalt,3.7550926208496094e-06,0.0001354217529296875,3.11732292175293e-05,0.9990234375,0.0002694129943847656,3.319978713989258e-05,1.1146068572998047e-05,0.0001633167266845703,0.0001195073127746582,1.6689300537109375e-05,../data/deep_pavements_dataset/dataset/asphalt/72fabd5b6443eff2244bb605673a684e.png
asphalt,7.838010787963867e-05,0.0007672309875488281,0.0002779960632324219,0.95361328125,0.0009255409240722656,0.043212890625,0.00014638900756835938,0.0006361007690429688,0.0002491474151611328,0.0001970529556274414,../data/deep_pavements_dataset/dataset/asphalt/d5e0a13fcc91c9f7ebecbf1be795bb66.png
asphalt,8.940696716308594e-07,2.753734588623047e-05,7.092952728271484e-06,1.0,3.170967102050781e-05,2.5033950805664062e-06,4.589557647705078e-06,4.982948303222656e-05,4.07099723815918e-05,6.4373016357421875e-06,../data/deep_pavements_dataset/dataset/asphalt/e7be9a6a6f1ae3d2c42e0b037f364f2e.png
asphalt,8.106231689453125e-06,0.00019097328186035156,5.91278076171875e-05,0.9990234375,0.0001939535140991211,0.00030994415283203125,2.282857894897461e-05,0.0001354217529296875,4.5359134674072266e-05,1.6689300537109375e-05,../data/deep_pavements_dataset/dataset/asphalt/022f9e68ac29459f44672ddab2d2254e.png
asphalt,2.9206275939941406e-05,0.0005016326904296875,0.0002446174621582031,0.99658203125,0.0003502368927001953,0.0005865097045898438,8.189678192138672e-05,0.0005340576171875,0.0012416839599609375,8.189678192138672e-05,../data/deep_pavements_dataset/dataset/asphalt/bbfebf9e21b43382e9fcd4f96214f4f1.png
asphalt,3.463029861450195e-05,0.0006232261657714844,0.0002808570861816406,0.99462890625,0.0005674362182617188,0.003475189208984375,5.888938903808594e-05,0.0004150867462158203,0.00011527538299560547,3.629922866821289e-05,../data/deep_pavements_dataset/dataset/asphalt/562fc6d1e5f9dbb911adb5d164b5f4dd.png
asphalt,0.00261688232421875,0.01003265380859375,0.01654052734375,0.130126953125,0.00913238525390625,0.822265625,0.004180908203125,0.00357818603515625,0.0010576248168945312,0.0003597736358642578,../data/deep_pavements_dataset/dataset/asphalt/e8d0cef768a109c5ea59724dbd674fec.png
